county_id,county,election_dt,result_type_lbl,result_type_desc,contest_id,contest_title,contest_party_lbl,contest_vote_for,precinct_code,precinct_name,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,vote_ct,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2528,Gidget Kidd,NON,1,ELECTION DAY,V,Election Day,169,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2528,Gidget Kidd,NON,2,ONE-STOP,O,Absentee: One-Stop,126,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2528,Gidget Kidd,NON,3,MAIL,M,Absentee: By-Mail,6,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2528,Gidget Kidd,NON,4,PROVISIONAL,P,Provisional,0,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2528,Gidget Kidd,NON,5,TRANSFER,T,Election Day: Transfer,0,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2531,Gwen Williams,NON,1,ELECTION DAY,V,Election Day,187,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2531,Gwen Williams,NON,2,ONE-STOP,O,Absentee: One-Stop,123,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2531,Gwen Williams,NON,3,MAIL,M,Absentee: By-Mail,6,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2531,Gwen Williams,NON,4,PROVISIONAL,P,Provisional,0,
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1442,ASHEBORO CITY SCHOOLS BOARD OF EDUCATION,NUL,3,AE,ASHEBORO EAST,2531,Gwen Williams,NON,5,TRANSFER,T,Election Day: Transfer,0,
